Gmt time,Open,High,Low,Close
10.02.2021 01:23:00.000,16.098,16.098,16.098,16.098
10.02.2021 01:24:00.000,16.098,16.098,16.098,16.098
10.02.2021 01:25:00.000,16.098,16.098,16.098,16.098
10.02.2021 01:26:00.000,16.098,16.098,16.098,16.098
10.02.2021 01:27:00.000,16.098,16.098,16.098,16.098
10.02.2021 01:28:00.000,16.098,16.098,16.098,16.098
10.02.2021 01:29:00.000,16.098,16.098,16.098,16.098
10.02.2021 01:30:00.000,16.218,16.26,16.217,16.248
10.02.2021 01:31:00.000,16.24,16.318,16.237,16.307
10.02.2021 01:32:00.000,16.306,16.308,16.302,16.308
10.02.2021 01:33:00.000,16.304,16.318,16.302,16.305
10.02.2021 01:34:00.000,16.307,16.318,16.303,16.303
10.02.2021 01:35:00.000,16.302,16.304,16.302,16.303
10.02.2021 01:36:00.000,16.301,16.303,16.297,16.298
10.02.2021 01:37:00.000,16.297,16.299,16.297,16.298
10.02.2021 01:38:00.000,16.297,16.298,16.297,16.298
10.02.2021 01:39:00.000,16.298,16.298,16.257,16.267
10.02.2021 01:40:00.000,16.263,16.378,16.263,16.378
10.02.2021 01:41:00.000,16.377,16.378,16.324,16.357
10.02.2021 01:42:00.000,16.366,16.366,16.342,16.344
10.02.2021 01:43:00.000,16.344,16.418,16.344,16.418
10.02.2021 01:44:00.000,16.418,16.458,16.418,16.437
10.02.2021 01:45:00.000,16.437,16.478,16.437,16.459
10.02.2021 01:46:00.000,16.458,16.518,16.457,16.498
10.02.2021 01:47:00.000,16.498,16.505,16.481,16.482
10.02.2021 01:48:00.000,16.497,16.498,16.477,16.479
10.02.2021 01:49:00.000,16.478,16.498,16.457,16.461
10.02.2021 01:50:00.000,16.46,16.478,16.437,16.438
10.02.2021 01:51:00.000,16.438,16.458,16.437,16.439
10.02.2021 01:52:00.000,16.438,16.458,16.437,16.457
10.02.2021 01:53:00.000,16.438,16.438,16.417,16.417
10.02.2021 01:54:00.000,16.426,16.437,16.417,16.437
10.02.2021 01:55:00.000,16.437,16.442,16.422,16.437
10.02.2021 01:56:00.000,16.439,16.439,16.417,16.425
10.02.2021 01:57:00.000,16.421,16.44,16.421,16.44
10.02.2021 01:58:00.000,16.441,16.447,16.437,16.438
10.02.2021 01:59:00.000,16.438,16.457,16.437,16.438
10.02.2021 02:00:00.000,16.437,16.458,16.437,16.445
10.02.2021 02:01:00.000,16.439,16.446,16.437,16.446
10.02.2021 02:02:00.000,16.437,16.458,16.437,16.458
10.02.2021 02:03:00.000,16.458,16.458,16.437,16.457
